OrderID;UserID;Name;Product;Price;Quantity;TotalPrice;Discount;DeliveryMethod;Status;OrderDate;
1;1489;User_1489;Ford Fusion SE;12900.0;3;32895.0;0.15;Delivery;Canceled_Error;06.01.2014;
2;908;User_908;Ford Windstar SE;600.0;1;540.0;0.1;Pickup;Paid;01.10.2015;
3;705;User_705;Nissan Altima 2.5 S;11700.0;1;9945.0;0.15000000000000002;Delivery;Canceled_Mismatch;13.10.2015;
4;1403;User_1403;BMW 6 Series 650i;16500.0;3;42075.0;0.15;Delivery;Delivered;21.02.2014;
5;1259;User_1259;BMW 3 Series 320i;25500.0;2;43350.0;0.15;Delivery;Paid;19.12.2015;
6;1356;User_1356;Chevrolet Silverado 1500 LS;4800.0;2;9600.0;0.0;Pickup;Delivered;03.10.2015;
7;73;User_73;Unknown Unknown Unknown;14900.0;2;25330.0;0.15000000000000002;Delivery;Canceled_Mismatch;20.03.2015;
8;1189;User_1189;Toyota Corolla LE;9700.0;2;19400.0;0.0;Pickup;Delivered;19.04.2014;
9;332;User_332;Buick LeSabre Limited;400.0;3;1200.0;0.0;Pickup;Delivered;12.01.2015;
10;1057;User_1057;Jaguar XK Base;41000.0;3;123000.0;0.0;Pickup;Canceled_Mismatch;27.10.2015;
11;1369;User_1369;Nissan Sentra SV;13100.0;1;11135.0;0.15;Delivery;Delivered;20.03.2014;
12;701;User_701;Saturn ION 2;4200.0;2;7140.0;0.15;Pickup;Delivered;25.10.2014;
13;331;User_331;Volkswagen Jetta TDI;11500.0;1;11500.0;0.0;Delivery;Delivered;31.01.2015;
14;256;User_256;Ford Edge SE;18000.0;2;36000.0;0.0;Delivery;Delivered;23.03.2015;
15;1470;User_1470;Ford Focus SE;7000.0;1;7000.0;0.0;Delivery;Delivered;23.09.2014;
16;44;User_44;Ford Explorer XLS;1900.0;1;1900.0;0.0;Pickup;Delivered;25.10.2014;
17;1139;User_1139;Kia Optima LX;16100.0;2;32200.0;0.0;Delivery;Canceled_Error;23.01.2014;
18;455;User_455;Hyundai Sonata GLS;12300.0;1;12300.0;0.0;Pickup;Canceled_Mismatch;12.10.2014;
19;15;User_15;Ford Focus SE;11000.0;1;11000.0;0.0;Pickup;Delivered;10.07.2015;
20;686;User_686;Nissan Altima 2025-05-02 00:00:00;3400.0;3;8670.0;0.15;Delivery;Canceled_Mismatch;01.02.2015;
21;682;User_682;Ford Focus S;2450.0;3;6247.5;0.15000000000000002;Pickup;Canceled_Error;10.05.2015;
22;1955;User_1955;Chrysler 200 LX;11100.0;1;11100.0;0.0;Pickup;Delivered;30.10.2015;
23;586;User_586;Dodge Ram Pickup 1500 SLT;9600.0;1;8640.0;0.1;Delivery;Canceled_Mismatch;14.09.2014;
24;84;User_84;Mazda CX-5 Touring;15000.0;2;30000.0;0.0;Pickup;Canceled_Mismatch;14.01.2014;
25;1992;User_1992;Dodge Challenger SXT;19400.0;3;49470.0;0.15;Delivery;Delivered;18.01.2014;
26;1059;User_1059;Toyota Camry SE;17100.0;2;34200.0;0.0;Pickup;Delivered;27.09.2014;
27;508;User_508;Honda Civic EX;12900.0;3;32895.0;0.15;Pickup;Delivered;12.04.2015;
28;195;User_195;Ford F-150 XLT;21400.0;2;42800.0;0.0;Pickup;Delivered;02.06.2015;
29;1768;User_1768;Mercedes-Benz GL-Class GL350 BlueTEC;42000.0;3;107100.0;0.15;Delivery;Delivered;23.08.2014;
30;1557;User_1557;Mazda Mazda6 s Sport;4400.0;2;8800.0;0.0;Delivery;Canceled_Mismatch;29.07.2014;
31;245;User_245;Cadillac SRX V6;10100.0;1;9090.0;0.1;Delivery;Delivered;18.08.2015;
32;268;User_268;Mitsubishi Outlander LS;2600.0;2;4420.0;0.15;Delivery;Canceled_Mismatch;31.01.2014;
33;730;User_730;Ford F-150 FX4;20000.0;3;48000.0;0.2;Pickup;Delivered;22.01.2014;
34;1950;User_1950;Hyundai Elantra GLS;11200.0;1;9520.0;0.15;Pickup;Delivered;26.06.2015;
35;1988;User_1988;Hyundai Sonata GLS;9700.0;3;24735.0;0.15;Pickup;Canceled_Mismatch;01.01.2014;
36;1013;User_1013;Hyundai Sonata Limited;15400.0;2;30800.0;0.0;Pickup;Canceled_Mismatch;25.12.2014;
37;1739;User_1739;Ford Edge Limited;22500.0;2;45000.0;0.0;Pickup;Delivered;05.06.2015;
38;1770;User_1770;Nissan Maxima 3.5 S;15000.0;2;25500.0;0.15;Delivery;Delivered;29.01.2014;
39;1914;User_1914;Chevrolet Traverse LT;21500.0;2;36550.0;0.15;Pickup;Canceled_Mismatch;16.09.2015;
40;85;User_85;Buick LeSabre Custom;800.0;2;1360.0;0.15;Delivery;Canceled_Error;19.12.2014;
41;1985;User_1985;BMW X5 xDrive35i;35000.0;2;70000.0;0.0;Pickup;Delivered;24.08.2014;
42;129;User_129;Ford F-150 XLT;600.0;3;1800.0;0.0;Delivery;Delivered;04.02.2014;
43;48;User_48;Nissan Altima 2025-05-02 00:00:00;11300.0;3;28815.0;0.15;Pickup;Delivered;05.04.2014;
44;1628;User_1628;Ford Fiesta S;7100.0;2;14200.0;0.0;Pickup;Delivered;04.08.2014;
45;480;User_480;Chevrolet Colorado LT;13500.0;2;18900.0;0.30000000000000004;Delivery;Canceled_Error;11.05.2015;
46;536;User_536;Lexus IS 250 Base;23300.0;2;39610.0;0.15;Delivery;Canceled_Mismatch;16.07.2014;
47;482;User_482;Nissan Maxima 3.5 SV;14000.0;2;28000.0;0.0;Delivery;Delivered;18.07.2015;
48;1040;User_1040;Dodge Charger R/T;10100.0;3;25755.0;0.15;Pickup;Delivered;06.05.2015;
49;114;User_114;Toyota Highlander Hybrid Base;7700.0;1;7700.0;0.0;Pickup;Canceled_Mismatch;18.07.2015;
50;1400;User_1400;Ford Focus ZX4 SE;1900.0;2;3230.0;0.15;Delivery;Delivered;09.08.2015;
51;123;User_123;Honda CR-V LX;19400.0;2;38800.0;0.0;Pickup;Paid;25.11.2014;
52;1827;User_1827;Saturn S-Series SL2;200.0;2;400.0;0.0;Pickup;Delivered;07.11.2014;
53;1157;User_1157;Volkswagen Jetta SE PZEV;9000.0;1;9000.0;0.0;Pickup;Canceled_Error;07.05.2015;
54;396;User_396;Mitsubishi Eclipse Spyder GT;1200.0;1;1200.0;0.0;Pickup;Delivered;29.12.2015;
55;713;User_713;Ford F-250 Super Duty XL;17900.0;2;35800.0;0.0;Pickup;Delivered;22.06.2014;
56;1349;User_1349;Lincoln MKZ Base;27900.0;1;27900.0;0.0;Pickup;Delivered;23.07.2015;
57;1600;User_1600;Ford F-350 Super Duty Lariat;31000.0;2;52700.0;0.15;Delivery;Delivered;04.09.2015;
58;1799;User_1799;Nissan Rogue SV;14800.0;3;37740.0;0.15;Delivery;Paid;03.11.2014;
59;916;User_916;Dodge Avenger SE;11250.0;1;10125.0;0.1;Delivery;Canceled_Mismatch;16.03.2014;
60;1647;User_1647;Mazda Mazda3 s Grand Touring;23500.0;2;47000.0;0.0;Pickup;Delivered;05.08.2015;
61;740;User_740;Nissan Sentra SR;8250.0;3;24750.0;0.0;Delivery;Delivered;28.05.2014;
62;809;User_809;Honda Insight Base;10800.0;3;27540.0;0.15;Delivery;Canceled_Mismatch;28.08.2015;
63;1311;User_1311;BMW Z4 3.0i;13200.0;1;13200.0;0.0;Pickup;Canceled_Error;06.07.2015;
64;368;User_368;Ford Escape SE;15700.0;3;40035.0;0.15;Delivery;Delivered;04.05.2015;
65;105;User_105;Ford Escape XLT;1800.0;2;3600.0;0.0;Delivery;Delivered;13.11.2014;
66;841;User_841;Hyundai Elantra GLS PZEV;9000.0;3;27000.0;0.0;Delivery;Delivered;24.02.2015;
67;1810;User_1810;Ford F-150 FX4;23300.0;3;69900.0;0.0;Pickup;Delivered;10.08.2015;
68;968;User_968;Honda Accord EX;7900.0;2;15800.0;0.0;Delivery;Delivered;21.04.2015;
69;1630;User_1630;Hyundai Elantra GLS;12500.0;1;12500.0;0.0;Delivery;Delivered;05.04.2014;
70;1893;User_1893;Nissan Maxima 3.5 SV;17000.0;2;34000.0;0.0;Pickup;Canceled_Mismatch;13.12.2015;
71;1788;User_1788;Chevrolet Traverse LS;14700.0;2;24990.0;0.15;Pickup;Canceled_Mismatch;09.02.2014;
72;1476;User_1476;Kia Optima EX;15100.0;1;15100.0;0.0;Pickup;Delivered;28.09.2015;
73;381;User_381;Jeep Wrangler Unlimited Rubicon;29400.0;2;49980.0;0.15;Pickup;Canceled_Mismatch;24.11.2014;
